RecAreaID,OrgRecAreaID,ParentOrgID,RecAreaName,RecAreaDescription,RecAreaUseFeeDescription,RecAreaDirections,RecAreaPhone,RecAreaEmail,RecAreaReservationURL,RecAreaMapURL,RecAreaLongitude,RecAreaLatitude,StayLimit,Keywords,Reservable,Enabled,LastUpdatedDate,nps_name
13525,GRTE,128,Grand Teton National Park,"Rising above a scene rich with extraordinary wildlife, pristine lakes, and alpine terrain, the Teton Range stands as a monument to the people who fought to protect it. These are mountains of the imagination. Mountains that led to the creation of Grand Teton National Park where you can explore over two hundred miles of trails, float the Snake River, and enjoy the serenity of this remarkable place.",,"Grand Teton National Park is located in northwestern Wyoming north of the town of Jackson, Wyoming and south of Yellowstone National Park.",(307) 739-3399,grte_info@nps.gov,,,-110.705467,43.818536,,"Arts and Culture,Auto and ATV,Biking,Boating,Camping,Horse Camping (see also Horse/Stock Use),Climbing,Fishing,Hiking,Horse Camping (see also camping),Horseback Riding,Hunting,Paddling,Water Skiing,Wildlife Watching,Grand Teton National Park",FALSE,TRUE,3/19/20,['grand teton']
13951,JEFF,128,Gateway Arch National Park,"The Gateway Arch reflects St. Louis' role in the Westward Expansion of the United States during the nineteenth century. The park is a memorial to Thomas Jefferson's role in opening the West, to the pioneers who helped shape its history, and to Dred Scott who sued for his freedom in the Old Courthouse.",,For directions click on the provided link,(314) 655-1600,jeff_superintendent@nps.gov,,,-90.189251,38.625807,,Gateway Arch National Park,FALSE,TRUE,3/19/20,['gateway arch']
140042,,128,Channel Islands National Park,Channel Islands National Park,,,,,,,0,0,,,TRUE,TRUE,3/19/20,['channel islands']
2554,ACAD,128,Acadia National Park,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",,"From Boston take I-95 north to Augusta, Maine, then Route 3 east to Ellsworth, and on to Mount Desert Island. For an alternate route, continue on I-95 north to Bangor, Maine, then take Route 1A east to Ellsworth. In Ellsworth, take Route 3 to Mount Desert Island.",(207) 288-3338,acadia_information@nps.gov,,,-68.300633,44.307775,,"Arts and Culture,Biking,Boating,Camping,Climbing,Fishing,Picnicking,Hiking,Horseback Riding,Paddling,Swimming,Wildlife Watching,Acadia National Park",FALSE,TRUE,3/19/20,['acadia']
2573,ARCH,128,Arches National Park,"Visit Arches to discover a landscape of contrasting colors, land forms and textures unlike any other in the world. The park has over 2,000 natural stone arches, in addition to hundreds of soaring pinnacles, massive fins and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.",,"Arches National Park is located in southeast Utah, five miles north of Moab on US 191.

From Moab, Utah, drive five miles north on Main Street/US 191. Turn right at the stoplight.

From Interstate 70, take exit 182 (Crescent Junction), then drive south 28 miles on US 191. Turn left at the stoplight.",(435) 719-2299,archinfo@nps.gov,,,-109.586367,38.722618,,"Arts and Culture,Auto and ATV,Biking,Camping,Climbing,Hiking,Horseback Riding,Arches National Park",FALSE,TRUE,3/19/20,['arches']
2578,BADL,128,Badlands National Park,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient mammals such as the rhino, horse, and saber-toothed cat once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",,"Badlands National Park is located 75 miles east of Rapid City, South Dakota.

Physical Addresses for GPS*

Park Headquarters: 25216 Ben Reifel Road, Interior, SD 57750.
Northeast Entrance (I-90, Exit 131): 21020 SD Hwy 240, Interior, SD 57750.
Pinnacles Entrance (I-90, Exit 110): 24240 Hwy 240, Wall, SD 57790.
Interior Entrance: 20640 SD Hwy 377, Interior, SD 57750.",(605) 433-5361,badl_information@nps.gov,,,-102.482942,43.685848,,"Auto and ATV,Biking,Camping,Horse Camping (see also Horse/Stock Use),Hiking,Horse Camping (see also camping),Horseback Riding,Wildlife Watching,Badlands National Park",FALSE,TRUE,3/19/20,['badlands']
2584,BIBE,128,Big Bend National Park,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...",,"Several highways lead to Big Bend National Park: TX 118 from Alpine to Study Butte or FM 170 from Presidio to Study Butte (then 26 miles east to park headquarters) or US 90 or US 385 to Marathon (then 70 miles south to park headquarters). 

Distances between towns and services are considerable. Be sure you have plenty of gas, oil, food, and water for your trip.",(432) 477-2251,bibe_info@nps.gov,,,-103.22979,29.298178,,"Auto and ATV,Biking,Camping,Hiking,Paddling,Wildlife Watching,Big Bend National Park",FALSE,TRUE,3/19/20,['big bend']
2588,BISC,128,Biscayne National Park,"Within sight of downtown Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Here too is evidence of 10,000 years of human history, from pirates and shipwrecks to pineapple farmers and presidents. Outdoors enthusiasts can boat, snorkel, camp, watch wildlife…or simply relax in a rocking chair gazing out over the bay.",,The Dante Fascell Visitor Center may be reached from the Florida Turnpike by taking Exit 6 (Speedway Boulevard). Turn left from exit ramp and continue south to SW 328th Street (North Canal Drive). Turn left on 328th Street and continue for four miles to the end of the road. The park entrance is on the left just before the entrance to Homestead Bayfront Marina.,(305) 230-1144,bisc_information@nps.gov,,,-80.210239,25.490587,,"Boating,Camping,Fishing,Paddling,Biscayne National Park",FALSE,TRUE,3/19/20,['biscayne']
2592,BLCA,128,Black Canyon Of The Gunnison National Park,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.",,7 miles north on CO Highway 347 from the intersection with U.S. Highway 50 east of Montrose,(970) 641-2337,cure_info@nps.gov,,,-107.724276,38.577799,,"Auto and ATV,Camping,Climbing,Fishing,Hiking,Horseback Riding,Paddling,Wildlife Watching,Black Canyon Of The Gunnison National Park",FALSE,TRUE,3/19/20,['black canyon of the gunnison']
2599,BRCA,128,Bryce Canyon National Park,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",,"From the North:
Take I-15 south to UT-20 (exit 95). Travel east on UT-20 to US-89. Follow US-89 south to UT-12. Travel east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park.

From the South through Zion National Park:
Take I-15 north to UT-9 (exit 16). Follow UT-9 east through Zion National Park to US-89. Travel north on US-89 to UT-12. Go east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park.",(435) 834-5322,brca_information@nps.gov,,,-112.182669,37.583991,,"Camping,Hiking,Wildlife Watching,Bryce Canyon National Park",FALSE,TRUE,3/19/20,['bryce canyon']
2616,CANY,128,Canyonlands National Park,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.",,"Canyonlands National Park is cut into three districts by the Green and Colorado rivers. Island in the Sky district, in the north of the park, is the closest district to Moab, UT. In about 40 minutes, you can reach Island in the Sky via UT 313. The Needles district is in the southeast corner of Canyonlands. The Needles is about an hour's drive from Monticello, UT via UT 211. The Maze district, in the west of the park, is the most remote and challenging. You can reach The Maze via unpaved roads from UT 24.",(435) 719-2313,canyinfo@nps.gov,,,-109.880162,38.245558,,"Auto and ATV,Biking,Boating,Camping,Climbing,Hiking,Horseback Riding,Paddling,Canyonlands National Park",FALSE,TRUE,3/19/20,['canyonlands']
2617,CARE,128,Capitol Reef National Park,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles.",,"From I-70: Take exit 149, then take UT-24 west toward Hanksville; continue for 43.8 miles (70.5 km). Turn right to continue on UT-24 west and continue for 37.3 miles (60 km). 

From I-15: take exit 188 then US-50 east toward Scipio. Left on UT-50; continuing 0.7 miles (1.1 km). Turn right onto US-50 east; continue for 24.4 miles (39.3 km). Turn right onto UT-260 south and continue 4.2 miles (6.8 km), then right on UT-24 for 71.3 miles. 

UT-12: North on highway 12 to Torrey, UT. Right onto UT-24.",(435) 425-3791,care_information@nps.gov,,,-111.247048,38.282165,,"Arts and Culture,Auto and ATV,Biking,Camping,Horse Camping (see also Horse/Stock Use),Climbing,Fishing,Picnicking,Hiking,Horse Camping (see also camping),Horseback Riding,Living History,Wildlife Watching,Capitol Reef National Park",FALSE,TRUE,3/19/20,['capitol reef']
