ActivityID,ActivityDescription,ActivityFeeDescription,EntityID,EntityType
4,,,10,Rec Area
6,,,10,Rec Area
7,,,10,Rec Area
9,,,10,Rec Area
10,,,10,Rec Area
11,,,10,Rec Area
14,,,10,Rec Area
16,,,10,Rec Area
20,,,10,Rec Area
22,,,10,Rec Area
26,,,10,Rec Area
5,,,100,Rec Area
6,,,100,Rec Area
8,,,100,Rec Area
9,,,100,Rec Area
10,,,100,Rec Area
11,,,100,Rec Area
14,,,100,Rec Area
20,,,100,Rec Area
22,,,100,Rec Area
23,,,100,Rec Area
24,,,100,Rec Area
25,,,100,Rec Area
38,,,100,Rec Area
40,,,100,Rec Area
103,,,100,Rec Area
6,,,10000167,Campground
9,,,10000167,Campground
11,,,10000167,Campground
26,,,10000167,Campground
5,,,10000170,Facility
30,"<p><strong>ATVs/ OHVs:</strong>  OHVs are permitted at the site. The road in front of the Guard Station a legal OHV/ATV route. All machines must be loaded on trailers <strong>at all times</strong> while at the station and can only be unloaded onto the road. Absolutely no riding in driveway, except to load onto trailer, or in the Guard Station area.</p>",,10000183,Facility
9,,,10000309,Campground
20,,,10000309,Campground
26,,,10000309,Campground
9,,,10000330,Campground
14,,,10000330,Campground
16,,,10000330,Campground
20,,,10000330,Campground
26,,,10000330,Campground
4,Driving for pleasure,No Fee,10000410,Rec Area
5,Road and gravel,No Fee,10000410,Rec Area
9,Open year-round,Campgrounds: $8 per night single site/$16 per night group site; $2 per extra vehicle (tow vehicles excluded) with a maximum of two vehicles allowed per site.,10000410,Rec Area
11,Fly fishing,No Fee,10000410,Rec Area
14,Chimney Rock Trail,No Fee,10000410,Rec Area
16,Deer and elk,No Fee,10000410,Rec Area
20,Day-Use Areas,No Fee,10000410,Rec Area
104,High Desert landscapes,No Fee,10000410,Rec Area
5,Mountain Biking,No fee.,10000433,Facility
14,,No fee.,10000433,Facility
100002,,No fee,10000433,Facility
5,Mountain biking,No fee,10000435,Facility
14,,No fee,10000435,Facility
100002,,No fee,10000435,Facility
14,,No fee,10000437,Facility
18,,No fee,10000437,Facility
5,Mountain biking,No fee,10000441,Facility
14,,No fee,10000441,Facility
15,,No fee,10000441,Facility
100002,,No fee,10000441,Facility
5,Mountain biking,No fee,10000443,Facility
14,,No fee,10000443,Facility
15,,No fee,10000443,Facility
100002,,No fee,10000443,Facility
4,,,10000447,Campground
9,,,10000447,Campground
11,,,10000447,Campground
5,,,10000635,Facility
14,,,10000635,Facility
15,,,10000635,Facility
11,,,10000667,Facility
26,,,10000667,Facility
6,,,10000671,Facility
11,,,10000671,Facility
11,,,10000673,Facility
25,,,10000673,Facility
11,,,10000675,Facility
25,,,10000675,Facility
14,,,10000677,Facility
14,,,10000681,Facility
6,"<p>Boat Access - There are a number of sand beaches where a boat could pull right up to shore. Murray Bay, Trout Bay and North Light Creek areas have the largest sand beaches with little to no rock obstructions. There are several areas around the perimeter of the island where kayakers can gain access. Be aware that there are very few locations on the northwest and northeast sides that are not cliff. There is no boat launch or public dock facility on Grand Island. Personal watercraft (SeaDoo/Jet Ski) are not allowed on the shores of Grand Island. The dock at Williams Landing can be used for loading and unloading only. Boats may not park at the dock.</p>",,10000719,Facility
106,"<p>Swimming - The lake bottom is sandy, sandy with small rocks, or solid rock depending on what site you choose. Lake Superior can be cold with average high temperatures reaching only the high 60s (degrees Fahrenheit). Be cautious when swimming because this area has not been checked for possible hazards. Please remember, you swim at your own risk.</p>",,10000719,Facility
5,,,10000733,Facility
14,,,10000733,Facility
15,,,10000733,Facility
9,,,10000738,Facility
8,,,10000944,Facility
18,,,10000944,Facility
100003,,,10000944,Facility
18,,,10000954,Facility
100003,,,10000954,Facility
14,,,10000964,Facility
15,,,10000964,Facility
100002,,,10000964,Facility
14,,,10001000,Rec Area
15,,,10001000,Rec Area
100002,,,10001000,Rec Area
14,,,10001024,Rec Area
15,,,10001024,Rec Area
100002,,,10001024,Rec Area
14,,,10001026,Facility
15,,,10001026,Facility
100002,,,10001026,Facility
14,,,10001030,Facility
15,,,10001030,Facility
100002,,,10001030,Facility
14,,,10001051,Rec Area
15,,,10001051,Rec Area
28,,,10001051,Rec Area
9,Camping,,10001419,Campground
11,Fishing,,10001419,Campground
14,Hiking,,10001419,Campground
20,Picnicking,,10001419,Campground
26,Wildlife Viewing,,10001419,Campground
32,Day Use Area,,10001419,Campground
104,Photography,,10001419,Campground
105,Paddling,,10001419,Campground
106,Swimming,,10001419,Campground
100017,Birding,,10001419,Campground
100019,Water Access,,10001419,Campground
100059,Ice Fishing,,10001419,Campground
9,Camping,,10001432,Campground
11,Fishing,,10001432,Campground
32,Day Use Area,,10001432,Campground
100019,Water Access,,10001432,Campground
8,Historic & Cultural Site,,10001451,Campground
9,Camping,,10001451,Campground
11,Fishing,,10001451,Campground
14,Hiking,,10001451,Campground
15,Horseback Riding,,10001451,Campground
20,Picnicking,,10001451,Campground
106,Swimming,,10001451,Campground
109,Horse Camping,,10001451,Campground
100004,Ranger Station,,10001451,Campground
100007,Kayaking,,10001451,Campground
100008,Canoeing,,10001451,Campground
100015,Star Gazing,,10001451,Campground
4,,,10001666,Campground
9,,,10001666,Campground
11,,,10001666,Campground
20,,,10001666,Campground
26,,,10001666,Campground
14,,,10001671,Facility
15,,,10001671,Facility
28,,,10001671,Facility
5,,,10003301,Rec Area
6,,,10003301,Rec Area
9,,,10003301,Rec Area
10,,,10003301,Rec Area
11,,,10003301,Rec Area
14,,,10003301,Rec Area
15,,,10003301,Rec Area
20,,,10003301,Rec Area
26,,,10003301,Rec Area
30,,,10003301,Rec Area
32,,,10003301,Rec Area
37,,,10003301,Rec Area
39,,,10003301,Rec Area
103,,,10003301,Rec Area
104,,,10003301,Rec Area
105,,,10003301,Rec Area
106,,,10003301,Rec Area
100004,,,10003301,Rec Area
100006,,,10003301,Rec Area
4,,,10003316,Rec Area
5,,,10003316,Rec Area
6,,,10003316,Rec Area
8,,,10003316,Rec Area
9,,,10003316,Rec Area
11,,,10003316,Rec Area
16,,,10003316,Rec Area
20,,,10003316,Rec Area
32,,,10003316,Rec Area
104,,,10003316,Rec Area
105,,,10003316,Rec Area
100006,,,10003316,Rec Area
6,Boating,,10003362,Campground
9,Camping,,10003362,Campground
100006,Water Activities,,10003362,Campground
6,Boating,,10003401,Campground
9,Camping,,10003401,Campground
11,Fishing,,10003401,Campground
100006,Water Activities,,10003401,Campground
18,,,10003634,Rec Area
100003,,,10003634,Rec Area
18,,,10003638,Rec Area
100003,,,10003638,Rec Area
8,,,10003970,Rec Area
11,,,10003970,Rec Area
14,,,10003970,Rec Area
26,,,10003970,Rec Area
104,,,10003970,Rec Area
9,Camping,,10004358,Campground
14,Hiking,,10004358,Campground
15,Horseback Riding,,10004358,Campground
16,Hunting,,10004358,Campground
26,Wildlife Viewing,,10004358,Campground
5,,,10004385,Rec Area
9,,,10004385,Rec Area
11,,,10004385,Rec Area
14,,,10004385,Rec Area
16,,,10004385,Rec Area
18,,,10004385,Rec Area
26,,,10004385,Rec Area
104,,,10004385,Rec Area
8,,,10004397,Rec Area
9,,,10004397,Rec Area
11,,,10004397,Rec Area
15,,,10004397,Rec Area
16,,,10004397,Rec Area
18,,,10004397,Rec Area
110,,,10004397,Rec Area
100006,,,10004397,Rec Area
14,,,10004513,Facility
4,,,10004620,Campground
5,,,10004620,Campground
