FacilityAddressID,FacilityID,FacilityAddressType,FacilityStreetAddress1,FacilityStreetAddress2,FacilityStreetAddress3,City,PostalCode,AddressStateCode,AddressCountryCode,LastUpdatedDate
0a1d9348-9f9a-4f45-a7ab-d1fd56381ae1,621744,Default,82 East Dogwood,,,Moab,UT,84532,USA,2020-03-19
10000168,10000167,Default,Kemmerer Field Office,430 North Highway 189,,Kemmerer,WY,83101,USA,2020-03-19
10000171,10000170,Default,,,,,SD,,USA,2020-03-19
10000172,10000170,Default,,,,,NE,,USA,2020-03-19
10000178,259167,Mailing,1450 Pennsylvania Avenue NW,,,Washington,DC,20230,USA,2020-03-19
10000185,10000183,Default,,,,,WY,,USA,2020-03-19
10000186,10000183,Default,,,,,UT,,USA,2020-03-19
10000310,10000309,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10000331,10000330,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman ,AZ,86401,USA,2020-03-19
10000434,10000433,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10000436,10000435,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10000438,10000437,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10000442,10000441,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10000444,10000443,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10000448,10000447,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-03-19
10000636,10000635,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10000668,10000667,Default,,,,,WY,,USA,2020-03-19
10000672,10000671,Default,,,,,WY,,USA,2020-03-19
10000674,10000673,Default,,,,,WY,,USA,2020-03-19
10000676,10000675,Default,,,,,WY,,USA,2020-03-19
10000678,10000677,Default,,,,,WY,,USA,2020-03-19
10000682,10000681,Default,,,,,WY,,USA,2020-03-19
10000740,10000719,Default,,,,,MI,,USA,2020-03-19
10000752,10000731,Default,,,,,MI,,USA,2020-03-19
10000754,10000733,Default,,,,,CO,,USA,2020-03-19
10000761,10000738,Default,,,,,CO,,USA,2020-03-19
10000945,10000944,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10000955,10000954,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10000965,10000964,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10001027,10001026,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10001031,10001030,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
100014190,10001419,Default,U.S. ARMY CORPS OF ENGINEERS,COLD BROOK LAKE,P.O. BOX 664,HOT SPRINGS,SD,57747-0664,US,2020-03-20
100014320,10001432,Default,U.S. ARMY CORPS OF ENGINEERS,COTTONWOOD SPRINGS LAKE ,P.O. BOX 664,HOT SPRINGS,SD,57747-0664,USA,2020-03-20
10001667,10001666,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-03-19
10001672,10001671,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10003279,10003278,Physical,386 NC 2104,,,Jasper,AR,72641,USA,2020-03-19
100033620,10003362,Default,7700 CANYON FERRY RD,,,HELENA,MT,59602,,2020-03-20
100034010,10003401,Default,7700 CANYON FERRY RD,,,HELENA,MT,59602,,2020-03-20
100035080,10003508,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100041520,10004152,Default,PO BOX 577,,,YOSEMITE,CA,95389,USA,2020-03-20
100043000,10004300,Default,511 2ND AVE SE #102,,,JAMESTOWN,ND,58401,,2020-03-20
100043580,10004358,Default,4564 LEATHERWOOD ROAD,,,ONEIDA,TENNESSEE,37841,USA,2020-03-20
10004521,10004490,Default,,,,,UT,,USA,2020-03-19
10004535,10004504,Default,,,,,UT,,USA,2020-03-19
10004544,10004513,Default,,,,,AK,,USA,2020-03-19
100045890,10004589,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100045920,10004592,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100045940,10004594,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100045960,10004596,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100045980,10004598,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100046000,10004600,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100046020,10004602,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
100046040,10004604,Default,500 RESOURCE MANAGEMENT DRIVE,,,WEST POINT,GA,31833,,2020-03-20
10004621,10004620,Default,,,,Lone Pine,CA,93545,USA,2020-03-19
100046570,10004657,Default,99 MARCONI SITE ROAD,,,WELLFLEET,MA,02667,,2020-03-20
100046590,10004659,Default,99 MARCONI SITE ROAD,,,WELLFLEET,MA,02667,,2020-03-20
100046610,10004661,Default,99 MARCONI SITE ROAD,,,WELLFLEET,MA,02667,,2020-03-20
100046630,10004663,Default,99 MARCONI SITE ROAD,,,WELLFLEET,MA,02667,,2020-03-20
100046650,10004665,Default,99 MARCONI SITE ROAD,,,WELLFLEET,MA,02667,,2020-03-20
100046670,10004667,Default,99 MARCONI SITE ROAD,,,WELLFLEET,MA,02667,,2020-03-20
100049190,10004919,Default,375 WESLEY BRANCH RD.,,,ASHEVILLE,NC,28806,,2020-03-20
100049320,10004932,Default,GORGE LAKE CAMPGROUND,C/O NORTH CASCADES NATIONAL PARK SERVICE COMPLEX,810 STATE ROUTE 20,SEDRO-WOOLLEY,WASHINGTON,98284,,2020-03-20
10004951,10004950,Mailing,Lake Powell Resorts & Marinas,PO Box 1926,,Page,AZ,86040,USA,2020-03-19
10004952,10004950,Physical,Halls Crossing Campground,,,Lake Powell,UT,84533,USA,2020-03-19
10004955,10004954,Physical,Hite Outpost & Adventure Center,1 Hite Marina Rd,,Hite,UT,84533,USA,2020-03-19
10004961,258825,Mailing,Desert View Campground,Grand Canyon National Park,P.O. Box 129,Grand Canyon,AZ,86023,USA,2020-03-19
10005018,259249,Mailing,Ellis Island Receiving Office,,,Jersey City,NJ,07305     ,USA,2020-03-19
10005083,202216,Default,1002 Blackburn Street,,,Cody,WY,82414,USA,2020-03-19
100052790,10005279,Default,2185 SLADE ROAD,,,BATAVIA,OH,45103,,2020-03-20
100053510,10005351,Default,710 TOWNSEND ST,,,CEDARVILLE,CA,96104,,2020-03-20
100053540,10005354,Default,,150 KY HWY 826,,MOREHEAD,KY,40351,,2020-03-20
100054140,10005414,Default,"PO BOX 981, 85 WEST MAIN STREET",,,DUCHESNE,UTAH,84021,,2020-03-20
10005524,10005523,Default,Burns District Office,28910 Highway 20 West,,Hines,OR,97730,USA,2020-03-19
10005551,259103,Mailing,19000 Caves Hwy,,,Cave Junction,OR,97523,USA,2020-03-19
10005677,10005676,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-03-19
10005783,10005782,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10005809,10005808,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
100059770,10005977,Default,ANDERSON ROAD DAY USE,4060 ANDERSON ROAD,,NASHVILLE,TN,37217,USA,2020-03-20
100061490,10006149,Default,U.S. ARMY CORPS OF ENGINEERS,WOODCOCK CREEK LAKE,22079 STATE HIGHWAY 198,SAEGERTOWN,PA,16433,,2020-03-20
10006176,10006175,Default,Kanab Field Office ,,,Kanab,UT,84741,USA,2020-03-19
10006178,10006177,Default,,,,,UT,84741,USA,2020-03-19
100062040,10006204,Default,"222 SOUTH 7TH STREET, SUITE 1",,,ST. MARIE'S ,ID,83861,,2020-03-20
100062060,10006206,Default,"PO BOX 981, 85 WEST MAIN STREET",,,DUCHESNE,UTAH,84021,,2020-03-20
10006212,10006211,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10006214,10006213,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10006216,10006215,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10006338,247535,Mailing,20 Hwy 14A E,,,Lovell,WY,82431,USA,2020-03-19
10006931,10006930,Default,,,,,WY,,USA,2020-03-19
10007100,10007099,Default,,,,,WY,,USA,2020-03-19
10007102,10007101,Default,,,,,WY,,USA,2020-03-19
100071300,10007130,Default,,ATTN: CABIN CAMPS,18100 PARK HEADQUARTERS RD,TRIANGLE,VA,22172,,2020-03-20
100071540,10007154,Default,804 BUCKHORN DAM RD,,,"BUCKHORN, ",KY,41721,,2020-03-20
100071560,10007156,Default,1100 NORTH MINERAL SPRING ROAD,,,PORTER,IN,46304,,2020-03-20
100071600,10007160,Default,SPYGLASS LOOKOUT GROUND HOUSE,"COEUR D' ALENE RIVER RD, 173 COMMERCE DR.",P.O. BOX 159,SMELTERVILLE,ID,83868,USA,2020-03-20
