MemberTourID,TourID,TourName
305359132,132,House-Underground Combo Tour
305509132,132,House-Underground Combo Tour
317399289,289,USS Arizona Memorial Deluxe Tour
31739946,46,USS Arizona Memorial with Narrated Tour
31739947,47,Passport to Pearl Harbor
31749946,46,USS Arizona Memorial with Narrated Tour
31750047,47,Passport to Pearl Harbor
35171841,41,Early Tour & Full Moon Package
35296841,41,Early Tour & Full Moon Package
416070197,197,Gothic Palace - Accessible
416120197,197,Gothic Palace - Accessible
451821260,260,Early Tour & Dances of the Ancients Package 8:30 am
453871268,268,Early Tour & Dances of the Ancients Package 11:30 am
453872260,260,Early Tour & Dances of the Ancients Package 8:30 am
453873268,268,Early Tour & Dances of the Ancients Package 11:30 am
470974289,289,USS Arizona Memorial Deluxe Tour
474925300,300,Early Tour & Stories at Sunset Package
477921300,300,Early Tour & Stories at Sunset Package
