EntityID,OrgID,EntityType
10,126,Rec Area
100,129,Rec Area
10000167,126,Campground
10000170,131,Facility
10000183,131,Facility
10000309,126,Campground
10000330,126,Campground
10000410,126,Rec Area
10000433,126,Facility
10000435,126,Facility
10000437,126,Facility
10000441,126,Facility
10000443,126,Facility
10000447,126,Campground
10000634,126,Facility
10000635,126,Facility
10000667,126,Facility
10000671,126,Facility
10000673,126,Facility
10000675,126,Facility
10000677,126,Facility
10000681,126,Facility
10000719,131,Facility
10000731,131,Facility
10000733,131,Facility
10000738,131,Facility
10000944,126,Facility
10000954,126,Facility
10000964,126,Facility
10001000,126,Rec Area
10001024,126,Rec Area
10001026,126,Facility
10001030,126,Facility
10001051,126,Rec Area
10001419,130,Campground
10001432,130,Campground
10001451,128,Campground
10001666,126,Campground
10001671,126,Facility
10001967,128,Facility
10003278,128,Facility
10003301,5001,Rec Area
10003316,126,Rec Area
10003337,128,Facility
10003362,129,Campground
10003401,129,Campground
10003508,130,Campground
10003564,128,Campground
10003632,126,Rec Area
10003633,126,Rec Area
10003634,126,Rec Area
10003638,126,Rec Area
10003968,126,Rec Area
10003970,126,Rec Area
10004152,128,Campground
10004300,129,Campground
10004358,128,Campground
10004385,126,Rec Area
10004397,126,Rec Area
10004490,131,Facility
10004504,131,Campground
10004513,131,Facility
10004589,130,Campground
10004592,130,Campground
10004594,130,Campground
10004596,130,Campground
10004598,130,Campground
10004600,130,Campground
10004602,130,Campground
10004604,130,Campground
10004620,126,Campground
10004657,128,Campground
10004659,128,Campground
10004661,128,Campground
10004663,128,Campground
10004665,128,Campground
10004667,128,Campground
10004719,126,Rec Area
10004722,126,Rec Area
10004723,126,Rec Area
10004875,126,Rec Area
10004919,131,Campground
10004932,128,Campground
10004950,128,Campground
10004954,128,Facility
10005253,131,Campground
10005279,130,Campground
10005351,131,Campground
10005354,130,Campground
10005358,130,Campground
10005414,131,Campground
10005416,128,Campground
10005515,126,Rec Area
10005523,126,Campground
10005676,126,Campground
10005775,128,Campground
10005778,128,Campground
10005782,126,Facility
10005808,126,Facility
10005977,130,Campground
10006147,130,Campground
10006149,130,Campground
10006175,126,Facility
10006177,126,Facility
10006204,131,Campground
10006206,131,Campground
10006208,128,Campground
10006211,126,Facility
10006213,126,Facility
10006215,126,Facility
10006930,126,Facility
10007099,126,Facility
10007101,126,Facility
10007130,128,Campground
10007154,130,Campground
10007156,128,Campground
10007160,131,Campground
10007179,130,Campground
10007207,128,Campground
10007458,126,Facility
10007460,126,Facility
10007462,126,Facility
10007957,126,Facility
10007963,131,Facility
10007964,131,Facility
10008019,131,Facility
10008118,126,Facility
10008514,128,Campground
10008679,126,Rec Area
10008680,126,Rec Area
10008681,126,Rec Area
10008682,126,Rec Area
10008684,126,Rec Area
10008685,126,Rec Area
10008686,126,Rec Area
10008687,126,Rec Area
10008688,126,Rec Area
10008689,126,Rec Area
10008690,126,Rec Area
10008691,126,Rec Area
10008692,126,Rec Area
10008747,128,Campground
10008811,126,Facility
10008944,131,Campground
10009273,126,Facility
10009517,131,Campground
10009605,126,Facility
10009675,130,Campground
10010172,131,Campground
10010177,131,Facility
10011352,126,Facility
10011396,131,Campground
10011522,126,Facility
10011715,130,Rec Area
10012,192,Rec Area
10012013,126,Facility
10012078,130,Campground
10012141,126,Campground
10012144,126,Rec Area
10012351,127,Facility
10013,192,Rec Area
10015,192,Rec Area
10016,192,Rec Area
10017,192,Rec Area
10018,192,Rec Area
10019,192,Rec Area
10020,192,Rec Area
10020625,128,Campground
10020630,128,Campground
10020955,126,Facility
10020957,126,Facility
10021,192,Rec Area
10021026,131,Facility
10021120,126,Facility
10022,192,Rec Area
10023,192,Rec Area
10023334,126,Rec Area
10024,192,Rec Area
10025,192,Rec Area
10028,192,Rec Area
10028545,143,Facility
10028553,143,Facility
10028561,143,Facility
10028569,143,Facility
10028577,143,Facility
10028585,143,Facility
10028593,143,Facility
10028601,143,Facility
10028609,143,Facility
10028617,143,Facility
10028625,143,Facility
10028678,128,Campground
10028875,128,Campground
10028991,131,Campground
10029,192,Rec Area
10029004,130,Campground
10029012,130,Campground
10029898,128,Campground
10029997,127,Facility
10029998,127,Facility
10029999,127,Facility
10030004,127,Facility
10030096,126,Facility
10030657,127,Facility
10030668,127,Facility
10030672,127,Facility
10031,126,Rec Area
10032028,131,Campground
10034,126,Rec Area
10034028,131,Facility
10035,126,Rec Area
10035048,130,Campground
10035081,130,Campground
10035281,130,Campground
10035640,126,Facility
10035642,126,Facility
10035904,126,Facility
10036532,128,Rec Area
10036862,130,Campground
10036864,130,Campground
10036866,130,Campground
10036879,130,Campground
10036881,130,Campground
10036906,130,Campground
10036909,130,Campground
10037,126,Rec Area
10037257,126,Facility
10037266,131,Facility
10037431,128,Campground
10038,126,Rec Area
10038212,131,Facility
10038314,126,Facility
10038347,126,Facility
10038430,126,Facility
10038450,126,Facility
10038478,126,Facility
10038511,135,Facility
10038544,126,Facility
10038578,126,Rec Area
10038589,126,Facility
10038606,126,Rec Area
10038712,130,Campground
10038733,127,Campground
10038827,130,Campground
10038964,130,Campground
10038980,130,Campground
10039,126,Rec Area
10039071,130,Campground
10039115,131,Facility
10039204,126,Facility
10039215,126,Facility
10039225,126,Facility
10039234,126,Facility
10039245,126,Facility
10039255,126,Facility
10039266,126,Facility
10039275,126,Facility
10039303,131,Facility
10039633,131,Facility
10039709,131,Facility
10039798,126,Rec Area
10039838,131,Campground
10039845,131,Campground
10039857,131,Campground
10039887,131,Campground
10039993,131,Campground
10040,126,Rec Area
10040012,131,Campground
10040020,131,Campground
10040022,131,Campground
10040047,131,Campground
10040227,126,Facility
10040260,126,Facility
10040300,126,Facility
10040320,126,Facility
10040491,131,Facility
10040545,130,Campground
10040547,131,Campground
10040565,131,Campground
10040567,130,Campground
10040569,131,Campground
10040755,126,Facility
10040756,126,Facility
10040757,126,Facility
10040797,126,Facility
10041,126,Rec Area
10041073,126,Rec Area
10041690,128,Campground
10041866,128,Campground
10042,126,Rec Area
10042004,128,Campground
10044,126,Rec Area
10044043,128,Rec Area
10044710,128,Campground
10044761,128,Campground
10044765,128,Campground
10045177,131,Facility
10045804,126,Facility
10046,126,Rec Area
10046322,126,Facility
10046324,131,Facility
10046512,128,Campground
10046527,126,Rec Area
10046794,131,Facility
10047,126,Rec Area
