AttributeID,AttributeName,AttributeValue,EntityID,EntityType
43,Important Information,Camping limited to designated U.S.F.S. sites.,1,PermitEntrance
43,Important Information,"Hiking only, canoeing not allowed. Camping limited to designated U.S.F.S. sites or at least 150 feet from hiking trails, lakes, streams, portages or  other campsites.",10,PermitEntrance
43,Important Information,"Boat in is possible for these sites, but you would need to dock your boat on the north end of Leigh Lake and walk in a half mile to the campsites. Most visitors hike in the 3.7 miles from Leigh Lake Trailhead. Each site has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.  These sites have a fire grates, which allow campfires unless restricted under high fire danger.  ",100,PermitEntrance
43,Important Information,"For information regarding the walk-in availability for this site, please call the park at: (307)739-3309.This site is currently still available for advanced reservations in May, September & October.This is a boat in only site. It has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box. All Jackson Lake campsites require packing out solid human waste.  This site has a fire grate which allows campfires unless restricted under high fire danger.  ",102,PermitEntrance
43,Important Information,Non-motorized boat in only site. Has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box. ,103,PermitEntrance
43,Important Information,These group sites have bear boxes for food storage. ,104,PermitEntrance
43,Important Information,Bear canisters may be required at ranger discretion.,105,PermitEntrance
43,Important Information,Campers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit.,106,PermitEntrance
43,Important Information,"Non-motorized boat accessible, or two mile hike in. Has two bear boxes which can each accommodate one typically sized cooler. Do not bring more food than can fit in the bear boxes.  This site has a fire grate which allows campfires unless restricted under high fire danger.  ",107,PermitEntrance
43,Important Information,"Hiking only, no canoeing. Camping limited to designated  sites or at least 150 feet from hiking trails, lakes, streams, portages or  other campsites.",11,PermitEntrance
43,Important Information,Campers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit.,111,PermitEntrance
43,Important Information,Campers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit.,112,PermitEntrance
43,Important Information,Bear canisters may be required at ranger discretion.,113,PermitEntrance
43,Important Information,"Boat in is possible for these sites, but you would need to dock your boat on the north end of Leigh Lake and walk in a half mile to the campsites. Most visitors hike in the 3.7 miles from Leigh Lake Trailhead. Each site has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.  These sites have a fire grates, which allow campfires unless restricted under high fire danger.  ",114,PermitEntrance
43,Important Information,Hikers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit. ,116,PermitEntrance
43,Important Information,Bear canisters may be required at ranger discretion.,118,PermitEntrance
43,Important Information,"Hiking only, canoeing not allowed. Camping limited to designated U.S.F.S. sites or at least 150 feet from hiking trails, lakes, streams, portages or other campsites.",12,PermitEntrance
43,Important Information,This is a boat in only site. It has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.All Jackson Lake campsites require packing out solid human waste.  This site has a fire grate which allows campfires unless restricted under high fire danger.  ,120,PermitEntrance
43,Important Information,Hikers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit. ,122,PermitEntrance
43,Important Information,This campsite area has a shared bear box for food storage. ,123,PermitEntrance
43,Important Information,This site is ONLY for those hiking the Crest Trail and needing a site to help them to hike back to their vehicle. ,127,PermitEntrance
43,Important Information,Camping limited to designated U.S.F.S. sites.,13,PermitEntrance
43,Important Information,This is a boat in only site. It has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.All Jackson Lake campsites require packing out solid human waste.  This site has a fire grate which allows campfires unless restricted under high fire danger.  ,130,PermitEntrance
43,Important Information,This is a boat in only site.  It has two bear boxes which can each accommodate one typically sized cooler.  Do not bring more food than can fit in the bear box.All Jackson Lake campsites require packing out solid human waste.  This site has a fire grate which allows campfires unless restricted under high fire danger.  ,131,PermitEntrance
43,Important Information,Hikers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit. ,132,PermitEntrance
43,Important Information,This campsite has a bear box for food storage. ,133,PermitEntrance
