PermitEntranceZoneID,PermitEntranceID,Zone
52558,155,Mt Whitney
52559,156,Mt Whitney
52560,157,Mt Whitney
52561,158,Mt Whitney
52562,159,Mt Whitney
52563,160,Mt Whitney
52564,166,Mt. Whitney Trail
52565,167,Mt Whitney
52566,168,Mt Whitney
52567,169,Mt Whitney
52568,170,Mt Whitney
52569,171,Mt Whitney
52570,172,Mt Whitney
52571,173,Mt Whitney
52572,174,Mt Whitney
52573,175,Mt Whitney
52574,176,Mt Whitney
52575,177,Mt Whitney
52576,178,Mt Whitney
52577,179,Mt Whitney
52578,180,Mt Whitney
52579,181,Mt Whitney
52580,182,Mt Whitney
52581,183,Mt Whitney
52582,184,Mt Whitney
52583,185,Mt Whitney
52584,186,Mt Whitney
52585,187,Mt Whitney
52586,188,Mt Whitney
52587,189,Mt Whitney
52588,190,Mt Whitney
52589,191,Mt Whitney
52590,192,Mt Whitney
52591,193,Mt Whitney
52592,194,Mt Whitney
52593,290,Camper Flat
52594,291,Genevieve
52595,292,Grouse Lakes
52596,293,Phipps
52597,294,Rockbound Lake
52598,295,Brown Mountain
52599,296,Lelands
52600,297,Schmidell
52601,298,Lyons
52602,299,Avalanche
52603,300,Stony Ridge
52604,301,Triangle
52605,302,Unknown
52606,303,Unknown
52607,304,Unknown
52608,305,Lake of the Woods
52609,306,Unknown
52610,307,Highland
52611,308,Lakes #3 and #5
52612,309,Unknown
52613,310,Unknown
52614,311,General Creek
52615,312,Rubicon 
52616,313,Unknown
52617,314,Unknown
52618,315,Unknown
52619,316,Ralston
52620,317,Tells
52621,318,Unknown
52622,319,Unknown
52623,320,Unknown
52624,321,Unknown
52625,322,Unknown
52626,323,Unknown
52627,324,Unknown
52628,325,Lawrence
52629,326,Red Peak
52630,327,China Flat
52631,328,Dicks
52632,329,Kalmia
52633,330,Dicks Peak
52634,331,Middle Velma
52635,332,Lower Velmas
52636,333,Lois
52637,334,Eagle
52638,335,Maud
52639,336,Rockbound Pass
52640,337,Mt. Price
52641,338,Half Moon
52642,339,Gilmore
52643,340,Cathedral
52644,341,Tyler
52645,342,Twin
52646,343,Aloha
52647,344,Susie
52648,345,Grass
52649,346,Hemlock
52650,347,Smith
52651,348,Waca
52652,349,American
52653,350,Tamarack
52654,351,Unknown
52655,352,Unknown
52656,380,Green River
52657,371,Yampa River
52658,195,Mt Whitney
52659,196,Mt Whitney
52660,197,Mt Whitney
52661,198,Mt Whitney
52662,199,Mt Whitney
52663,200,Mt Whitney
52664,201,Mt Whitney
52665,202,Mt Whitney
52666,203,Mt Whitney
52667,204,Mt Whitney
52668,205,Mt Whitney
52669,206,Mt Whitney
52670,207,Mt Whitney
52671,208,Mt Whitney
52672,209,Mt Whitney
52673,210,Mt Whitney
52674,211,Mt Whitney
52675,212,Mt Whitney
52676,213,Mt Whitney
52677,214,Mt Whitney
52678,215,Mt Whitney
52679,216,Mt Whitney
52680,217,Mt Whitney
52681,406,Whitney Day Use
52682,407,Mt Whitney
52683,408,Mt Whitney
52684,409,Mt Whitney
52685,410,Mt Whitney
52686,411,Mt Whitney
52687,412,Mt Whitney
52688,413,Mt Whitney
52689,414,Mt Whitney
52690,415,Mt Whitney
52691,416,Mt Whitney
52692,417,Mt Whitney
52693,418,Mt Whitney
52694,419,Mt Whitney
52695,420,Mt Whitney
52696,421,Mt Whitney
52697,422,Mt Whitney
52698,423,Mt Whitney
52699,688,Unknown
52700,424,Glacier Canyon
52701,425,Parker Lake
52702,161,Unknown
52703,162,Unknown
52704,430,Rush Creek
52705,434,Fern and Yost
52706,435,River Trail
52707,436,Minaret Lake
52708,437,Beck Lake
52709,438,Fern Lake
52710,439,Red Cones
52711,440,Cottonwood Pass
52712,441,Lundy Lakes
52713,442,Golden Trout Lakes
52714,443,Deer Lakes
52715,444,Duck Pass
52716,445,Valentine Lake
52717,446,Laurel Lake
52718,447,Convict Creek
52719,448,McGee Creek 
52720,449,Hilton Lakes Trail
52721,450,Tamarack Lakes
52722,668,Rainy West
52723,530,Sand Point Lake
52724,669,Rainy West
52725,451,Little Lakes Valley
52726,667,Namakan
52727,502,Backcountry
52728,503,Rainy East
52729,452,Italy Pass
52730,453,Unknown
52731,454,Gable Lakes
52732,455,Horton Lakes
52733,163,Rainy East
52734,664,Namakan
52735,665,Kabetogama
52736,456,Piute Pass
52737,457,Tyee Lakes
52738,458,Treasure Lakes
52739,459,Bishop Pass
52740,460,Baker and Green Lakes
52741,461,Big Pine Creek South Fork
52742,462,Birch Lake
52743,463,Red Lake
52744,464,Baxter Pass
52745,465,Kearsarge Pass
52746,466,Shepherd Pass
52747,467,George Creek/Mt. Williamson
52748,468,Meysan Lake
52749,469,Unknown
52750,470,Unknown
52751,471,Kennedy Meadows
52752,472,Unknown
52753,473,Blackrock
52754,474,Fish Creek
52755,475,Trail Pass
52756,476,John Muir Trail South of Devils Postpile
52757,477,Taboose Pass
52758,478,Sawmill Pass
52759,479,Unknown
52760,480,Haiwee
52761,481,Pine Creek Pass
52762,482,Sabrina Lake
52763,483,Unknown
52764,484,George Lake via Sabrina
52765,485,High Trail
52766,486,John Muir Trail North of Devils Postpile
52767,487,Shadow Creek
52768,488,Lakes Canyon
52769,493,Upper Buttermilk
52770,494,Mono Pass
52771,495,Big Pine North Fork
52772,496,Unknown
52773,497,Lamarck Lakes
52774,498,Warren Fork
52775,499,Unknown
52776,506,Saddlebag Lake
52777,687,Unknown
52778,511,Gibbs Lake
52779,504,Namakan
52780,505,Backcountry
52781,661,Rainy West
52782,662,Sand Point Lake
52783,512,North Fork Lone Pine Creek
52784,516,Mt. Whitney Trail
52785,517,Bloody Canyon
52786,518,Olancha Pass
52787,519,Tuttle Creek
52788,520,Cottonwood Lakes
52789,521,Unknown
52790,522,Unknown
52791,750,Sand Point Lake
52792,527,Backcountry
52793,528,Backcountry
52794,529,Rainy West
52795,670,Kabetogama
52796,531,Backcountry
52797,666,Rainy West
52798,389,Backcountry
52799,597,Sand Point Lake
52800,390,Kabetogama
52801,588,Backcountry
52802,589,Rainy West
52803,590,Rainy West
52804,591,Rainy West
52805,391,Sand Point Lake
52806,592,Sand Point Lake
52807,593,Kabetogama
52808,392,Sand Point Lake
52809,393,Kabetogama
52810,394,Rainy West
52811,395,Backcountry
52812,633,Rainy East
52813,634,Rainy East
52814,635,Backcountry
52815,636,Backcountry
52816,637,Kabetogama
52817,641,Rainy West
52818,642,Rainy West
52819,643,Kabetogama
52820,644,Rainy East
52821,645,Sand Point Lake
52822,396,Backcountry
52823,631,Sand Point Lake
52824,632,Namakan
52825,397,Rainy East
52826,646,Kabetogama
52827,398,Backcountry
52828,640,Rainy West
52829,630,Rainy East
52830,399,Kabetogama
52831,627,Rainy East
52832,628,Kabetogama
52833,629,Sand Point Lake
52834,400,Rainy West
52835,622,Kabetogama
52836,623,Sand Point Lake
52837,624,Kabetogama
52838,625,Kabetogama
52839,626,Sand Point Lake
52840,401,Sand Point Lake
52841,616,Namakan
52842,617,Namakan
52843,618,Sand Point Lake
52844,619,Rainy West
52845,620,Kabetogama
52846,621,Rainy East
52847,402,Kabetogama
52848,594,Namakan
52849,595,Sand Point Lake
52850,596,Sand Point Lake
52851,582,Sand Point Lake
52852,583,Kabetogama
52853,584,Namakan
52854,585,Sand Point Lake
52855,586,Sand Point Lake
52856,587,Namakan
52857,576,Rainy West
52858,577,Namakan
52859,578,Namakan
52860,579,Namakan
52861,580,Sand Point Lake
52862,581,Namakan
52863,571,Namakan
52864,572,Namakan
52865,573,Namakan
52866,574,Namakan
52867,575,Namakan
52868,403,Kabetogama
52869,404,Rainy East
52870,684,Namakan
52871,405,Backcountry
52872,524,Backcountry
52873,672,Namakan
52874,525,Rainy West
52875,671,Namakan
52876,526,Rainy East
52877,164,Namakan
52878,657,Sand Point Lake
52879,165,Rainy West
52880,489,Rainy East
52881,658,Sand Point Lake
52882,659,Sand Point Lake
52883,660,Backcountry
52884,654,Sand Point Lake
52885,490,Namakan
52886,491,Backcountry
52887,492,Rainy East
52888,655,Namakan
52889,656,Rainy East
52890,651,Sand Point Lake
52891,652,Backcountry
52892,653,Sand Point Lake
52893,426,Backcountry
52894,663,Namakan
52895,427,Namakan
52896,428,Namakan
52897,647,Backcountry
52898,429,Rainy West
52899,648,Rainy West
52900,649,Kabetogama
52901,650,Kabetogama
52902,638,Backcountry
52903,639,Kabetogama
52904,507,Backcountry
52905,567,Namakan
52906,568,Namakan
52907,508,Rainy West
52908,569,Kabetogama
52909,570,Namakan
52910,509,Kabetogama
52911,510,Backcountry
52912,563,Sand Point Lake
52913,565,Sand Point Lake
52914,566,Namakan
52915,431,Rainy West
52916,561,Rainy West
52917,562,Kabetogama
52918,598,Rainy West
52919,599,Rainy West
52920,600,Sand Point Lake
52921,601,Kabetogama
52922,602,Backcountry
52923,603,Rainy West
52924,682,Namakan
52925,683,Namakan
52926,432,Backcountry
52927,685,Backcountry
52928,433,Backcountry
52929,686,Kabetogama
52930,513,Rainy East
52931,514,Rainy East
52932,673,Namakan
52933,674,Kabetogama
52934,675,Kabetogama
52935,681,Backcountry
52936,515,Namakan
52937,676,Namakan
52938,677,Namakan
52939,678,Namakan
52940,679,Backcountry
52941,680,Rainy East
52942,532,Backcountry
52943,533,Kabetogama
52944,534,Backcountry
52945,612,Namakan
52946,613,Backcountry
52947,614,Backcountry
