PermitEntranceID,PermitEntranceType,FacilityID,PermitEntranceName,PermitEntranceDescription,District,Town,PermitEntranceAccessible,Longitude,Latitude,CreatedDate,LastUpdatedDate
1,Entry Point,233396,Duncan Lake (op),"Method of travel is paddle. Access is from West Bearskin Lake with a 70-rod portage to Duncan Lake and an 80-rod portage to Rose.  For more information, please call the Gunflint Ranger Station at 218-387-1750.",Gunflint District,Grand Marais,false,-90.439444,48.062500,2014-05-02,2018-06-14
10,Entry Point,233396,Partridge Lake Trail (oh),"Method of travel is hiking only (if paddling, use entry #60). 4 mile hike. No parking available. For more information, please call the Gunflint Ranger Station at 218-387-1750.",Gunflint District,Grand Marais,false,-90.496960,48.077964,2014-05-02,2018-06-14
100,02 Leigh Lake,249986,LL06,"Three small sites surrounding Bearpaw Lake, just north of Leigh Lake. Boat in is possible for these sites, but you would need to dock your boat on the north end of Leigh Lake and walk in a half mile to the campsites. Most visitors hike in the 3.7 miles from Leigh Lake Trailhead. Each site has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.  These sites have a fire grates, which allow campfires unless restricted under high fire danger.",,,false,0.000000,0.000000,2014-05-02,2018-06-14
101,Non Zone South,249986,PSS11,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
102,01 Jackson Lake,249986,JL07,"For information regarding the walk-in availability for this site, please call the park at: (307)739-3309.This site is currently still available for advanced reservations in May, September & October.This is a boat in only site. It has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box. All Jackson Lake campsites require packing out solid human waste.  This site has a fire grate which allows campfires unless restricted under high fire danger.",,,false,0.000000,0.000000,2014-05-02,2018-06-14
103,02 Leigh Lake,249986,LL03,Non-motorized boat in only site. Has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
104,04 Mountain Group Sites,249986,MGS6,Group Site towards the western edge of Middle/South Fork Granite Group Site. These group sites have bear boxes for food storage.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
105,09 Other Climbing Sites,249986,OCS3,Glacier below north side of Grand Teton in upper part of Glacier Gulch. Bear canisters may be required at ranger discretion.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
106,Non Zone North,249986,PSN9,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
107,02 Leigh Lake,249986,LL08,"Group site on east side of Leigh Lake.   Large sandy beach with shallow water for swimming. Non-motorized boat accessible, or two mile hike in. Has two bear boxes which can each accommodate one typically sized cooler. Do not bring more food than can fit in the bear boxes.  This site has a fire grate which allows campfires unless restricted under high fire danger.",,,false,0.000000,0.000000,2014-05-02,2018-06-14
108,Non Zone South,249986,PSS8,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
109,Non Zone South,249986,PSS21,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
11,Entry Point,233396,Kekekabic Trail (west) /Snowbank (oh),"Method of travel is hiking. Loop option includes 27 miles of the Snowbank Trail, plus the 46 mile Kekekabic Trail that continues to the east side trail head. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.",Kawishiwi District,Ely,false,-91.463684,47.968240,2014-05-02,2018-06-14
110,Non Zone South,249986,PSS31,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
111,John D. Rockefeller Parkway,249986,JDR2,Dispersed camping in the John D. Rockefeller Parkway.  There is no quota therefore advance reservations are not necessary.  Pick up a permit for this area in person at any Grand Teton National Park backcountry permits station.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
112,John D. Rockefeller Parkway,249986,JDR1,Dispersed camping in the John D. Rockefeller Parkway.  There is no quota therefore advance reservations are not necessary.  Pick up a permit for this area in person at any Grand Teton National Park backcountry permits station.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
113,09 Other Climbing Sites,249986,OSC6,For bivies on the East Face of Grand Teton. Bear canisters may be required at ranger discretion.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
114,02 Leigh Lake,249986,LL05,"Three small sites surrounding Bearpaw Lake, just north of Leigh Lake. Boat in is possible for these sites, but you would need to dock your boat on the north end of Leigh Lake and walk in a half mile to the campsites. Most visitors hike in the 3.7 miles from Leigh Lake Trailhead. Each site has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.  These sites have a fire grates, which allow campfires unless restricted under high fire danger.",,,false,0.000000,0.000000,2014-05-02,2018-06-14
115,Non Zone South,249986,PSS29,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
116,03 Mountain Camping Zones,249986,MCZ10,Camping zone that traverses the slope leading out of Granite Canyon up to Mt. Hunt Divide. Hikers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
117,Non Zone North,249986,PSN8,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
118,09 Other Climbing Sites,249986,OCS7,For bivies on the west side of the Enclosure.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
119,Non Zone North,249986,PSN14,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
12,Entry Point,233396,Border Route Trail (center) (oh),"Method of travel is hiking. 53 mile hiking trail. Shorter options available For more information, please call the Gunflint Ranger Station in Grand Marais at (218)387-1750.",Gunflint District,Grand Marais,false,-90.383813,48.071599,2014-05-02,2018-06-14
120,01 Jackson Lake,249986,JL04,This is a boat in only site. It has a bear box which can accommodate one typically sized cooler. Do not bring more food than can fit in the bear box.All Jackson Lake campsites require packing out solid human waste.  This site has a fire grate which allows campfires unless restricted under high fire danger.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
121,Non Zone North,249986,PSN3,Designated as walk-up only for use during the summer months.,,,false,0.000000,0.000000,2014-05-02,2018-06-14
122,03 Mountain Camping Zones,249986,MCZ2,"Camping zone in the North Fork of Cascade Canyon, near (but not at) Lake Solitude. Hikers must take IGBC approved bear resistant food storage containers in this area. Free loan out of these containers is available at Grand Teton permit stations with a valid backcountry permit.",,,false,0.000000,0.000000,2014-05-02,2018-06-14
