RecAreaAddressID,RecAreaID,RecAreaAddressType,RecAreaStreetAddress1,RecAreaStreetAddress2,RecAreaStreetAddress3,City,PostalCode,AddressStateCode,AddressCountryCode,LastUpdatedDate
10000411,10000410,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-03-19
10001001,10001000,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10001025,10001024,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10001052,10001051,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10003302,10003301,Default,22 Bear Creek Lake Rd.,,,Cumberland,VA,23040,USA,2020-03-19
10003317,10003316,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-03-19
10003639,10003638,Default,,,,Samoa,CA,95564,USA,2020-03-19
10003969,10003968,Default,,,,,CA,95441,USA,2020-03-19
10003971,10003970,Default,,Light House Road,,Point Arena,CA,95468,USA,2020-03-19
10004386,10004385,Default,,Berryessa Knoxville Road,,Napa,CA,94558,USA,2020-03-19
10004398,10004397,Default,,,,Indian Valley Reservoir,CA,95987,USA,2020-03-19
10004720,10004719,Default,,,,Lakeport,CA,95453,USA,2020-03-19
10004876,10004875,Default,Mendo-Lake Rd,,,Ukiah,CA,95482,USA,2020-03-19
10005019,13924,Mailing,Ellis Island Receiving Center,Statue of Liberty National Monument,,Jersey City,NJ,07305     ,USA,2020-03-19
10005516,10005515,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-03-19
10009143,2590,Mailing,6044 FM 420,,,Kountze,TX,77625,USA,2020-03-19
10011716,10011715,Default,396120 St. Hwy 10,,,Copan,OK,74022,USA,2020-03-19
10011748,1096,Default,,,,,AZ,,USA,2020-03-19
10012145,10012144,Default,21605 North 7th Avenue,,,Phoenix,AZ,85027-2929,USA,2020-03-19
10014596,14909,Physical,706 Craven Street,,,Beaufort,SC,29902,USA,2020-03-19
10038579,10038578,Default,Grants Pass Interagency Office,2164 NE Spalding Avenue,,Grants Pass,OR,97526,USA,2020-03-19
10038607,10038606,Default,Grants Pass Interagency Office,2164 NE Spalding Avenue,,Grants Pass,OR,97526,USA,2020-03-19
10039569,14519,Mailing,601 Nevada Way,,,Boulder City,NV,89005,USA,2020-03-19
10039799,10039798,Default,"<a href=""https://www.blm.gov/office/grants-pass-interagency-office"">Grants Pass Interagency Office</a>",2164 NE Spalding Avenue,,Grants Pass,OR,97526,USA,2020-03-19
10041119,2736,Mailing,266 Warren Lane,,,Deer Lodge,MT,59722,USA,2020-03-19
1009,2168,Default,Northern Puget Sound,,,San Juan County,WA,,USA,2020-03-19
1011,2176,Default,1 mile off shore from ,,,Oceanside,OR,,USA,2020-03-19
1016,2191,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
1017,2195,Default,Richfield Field Office,150 East 900 North,,Richfield,UT,84701,USA,2020-03-19
1018,2196,Default,Richfield Field Office,150 East 900 North,,Richfield,UT,84701,USA,2020-03-19
1019,2198,Default,Escalante Field Station,PO Box 225,(755 West Main Street),Escalante,UT,84726,USA,2020-03-19
1020,2199,Default,St. George Field Office,345 East Riverside Drive,,St. George,UT,84790,USA,2020-03-19
10214,13555,Default,,,,,FL,,,2020-03-19
10215,13556,Default,,,,,ME,,,2020-03-19
10216,13557,Default,,,,,AL,,,2020-03-19
10217,13558,Default,,,,,AK,,,2020-03-19
10218,13559,Default,,,,,CO,,,2020-03-19
10219,13560,Default,,,,,OH,,,2020-03-19
10220,13561,Default,,,,,CA,,,2020-03-19
10221,13562,Default,,,,,CA,,,2020-03-19
10222,13563,Default,,,,,AZ,,,2020-03-19
10223,13564,Default,,,,,FL,,,2020-03-19
10224,13565,Default,,,,,AR,,,2020-03-19
10225,13566,Default,,,,,CA,,,2020-03-19
10226,13567,Default,,,,,SC,,,2020-03-19
10227,13568,Default,,,,,MN,,,2020-03-19
10229,13570,Default,,,,,CA,,,2020-03-19
10230,13570,Default,,,,,NV,,,2020-03-19
10231,13571,Default,,,,,MT,,,2020-03-19
10232,13571,Default,,,,,WY,,,2020-03-19
10233,13572,Default,,,,,MT,,,2020-03-19
10234,13573,Default,,,,,WY,,,2020-03-19
10235,13574,Default,,,,,UT,,,2020-03-19
10236,13575,Default,,,,,FL,,,2020-03-19
10237,13576,Default,,,,,UT,,,2020-03-19
10238,13577,Default,,,,,CA,,,2020-03-19
10239,13578,Default,,,,,WY,,,2020-03-19
1024,2212,Default,Vernal Field Office,170 South 500 East,,Vernal,UT,84078,USA,2020-03-19
10240,13579,Default,,,,,MT,,,2020-03-19
10241,13580,Default,Klamath Falls Field Office,2795 Anderson Ave #25,,Klamath Falls,OR,97630,USA,2020-03-19
10242,13581,Default,,,,,VA,,,2020-03-19
10243,13582,Default,,,,,NM,,,2020-03-19
10244,13583,Default,,,,,NV,,,2020-03-19
10245,611,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-03-19
10246,13584,Default,Safford Field Office,711 14th Avenue,,Safford,AZ,85546,USA,2020-03-19
10247,13585,Default,Hassayampa Field Office,21605 N. 7th Ave,,Phoenix,AZ,85027,USA,2020-03-19
10248,13586,Default,San Pedro Project Office,1763 Paseo San Luis,,Sierra Vista,AZ,85635,USA,2020-03-19
1025,2214,Default,Fillmore Field Office,95 East 500 North,,Fillmore,UT,84631,USA,2020-03-19
10254,13589,Default,,,,,DE,,,2020-03-19
10255,13590,Default,,,,,CA,,,2020-03-19
10256,13590,Default,,,,,NV,,,2020-03-19
10257,13591,Default,,,,,WY,,,2020-03-19
10258,13592,Default,,,,,UT,,,2020-03-19
10259,13593,Default,,,,,CO,,,2020-03-19
10260,13594,Default,,,,,NV,,,2020-03-19
10261,13595,Default,,,,,CA,,,2020-03-19
10262,13596,Default,,,,,OR,,,2020-03-19
10263,13597,Default,Salmon Field Office ,1206 South Challis Street,,Salmon,ID,83467,USA,2020-03-19
10264,13598,Default,,,,,NM,,,2020-03-19
10265,13599,Default,,,,,NC,,,2020-03-19
10266,13599,Default," Palomino Valley Wild Horse and Burro Center",15780 State Route 445,,Reno,NV,89510,USA,2020-03-19
10267,13600,Default,NV Highway 322," ",,Pioche,NV,89043,USA,2020-03-19
10268,13601,Default,Ely Field Office,"702 North Industrial Way, HC 33 Box 33500 ",,Ely,NV,89301,USA,2020-03-19
10269,13602,Default,Ely District Office,"702 North Industrial Way, HC 33 Box 33500 ",,Ely,NV,89301,USA,2020-03-19
10270,13603,Default,,,,,OK,,,2020-03-19
