RecAreaID,FacilityID
16669,10000305
2782,10001053
2782,10001055
287,10001419
286,10001432
2602,10001451
2782,10001965
130,10003362
130,10003401
450,10003508
2991,10004152
1128,10004300
2589,10004358
1011,10004456
450,10004589
450,10004592
450,10004594
450,10004596
450,10004598
450,10004600
450,10004602
450,10004604
2607,10004657
2607,10004659
2607,10004661
2607,10004663
2607,10004665
2607,10004667
1045,10004919
2845,10004932
2782,10004945
1076,10005253
361,10005279
10008685,10005349
1053,10005351
359,10005354
412,10005358
2743,10005627
2743,10005629
2743,10005631
2782,10005775
2782,10005778
387,10005977
497,10006147
411,10006149
1011,10006204
1030,10006206
2799,10006208
2896,10007130
354,10007154
2767,10007156
1011,10007160
354,10007179
1032,10007181
2767,10007207
1070,10008944
1059,10009517
538,10009675
443,10009939
1073,10010172
1045,10011396
149,10012078
16341,10012141
2917,10028678
2584,10028875
1050,10028991
477,10029004
477,10029012
1092,10032028
570,10035048
570,10035081
570,10035281
1691,10036862
1691,10036864
1691,10036866
1691,10036879
1691,10036881
1691,10036906
1691,10036909
1022,10038212
1858,10038589
553,10038712
12781,10038733
160,10038827
553,10038964
560,10038980
1011,10038994
556,10039071
16820,10039204
16820,10039234
16820,10039245
16820,10039255
16820,10039266
16820,10039275
1077,10039838
1064,10039845
1091,10039857
1077,10039887
1077,10039993
1077,10040012
1092,10040020
1077,10040022
1077,10040047
2264,10040545
1089,10040547
1018,10040565
215,10040567
1055,10040569
1018,10040589
16540,10040591
578,10041284
2739,10041304
1032,118290
1035,118440
1058,118991
1052,118992
1052,118993
122,118994
1076,118995
1108,119090
1108,119140
1108,119190
1108,119240
1120,119290
1050,120840
2336,120890
1072,120990
1072,121040
16822,121390
16822,121440
1094,121740
1048,121840
1048,121890
1048,121940
1048,122240
1048,122390
1114,122490
1114,122491
1114,122540
1102,122890
1102,122940
1048,122990
1048,122991
1048,123040
1058,123340
1065,123390
1072,123440
1096,126690
158,156340
1058,158243
412,159090
10012,200010
16805,201777
10012144,202059
2045,202060
2072,202062
2072,202067
2072,202084
2072,202085
16201,202162
16696,202194
440,231774
440,231775
1012,231831
1058,231832
1058,231833
1058,231834
1057,231835
1057,231836
1057,231837
1057,231838
1057,231839
1057,231840
1057,231841
1057,231842
1057,231843
1059,231844
1059,231845
1059,231846
1059,231848
2018,231849
2018,231850
2018,231851
1051,231852
1051,231853
1051,231854
1051,231855
1051,231856
1051,231857
1051,231858
1051,231859
1051,231860
1051,231861
1051,231862
1059,231863
1059,231864
1053,231865
1053,231866
1053,231867
1053,231868
1053,231869
1053,231870
1053,231871
1053,231872
1053,231873
1053,231874
1053,231875
1053,231876
1053,231877
1053,231878
1054,231879
1055,231880
1055,231881
1055,231882
1055,231883
122,231884
122,231885
1098,231886
1100,231887
1100,231888
1100,231889
1100,231890
1101,231891
1101,231892
1101,231893
1101,231894
1096,231896
1030,231897
1030,231898
1030,231899
1030,231900
1030,231901
1030,231902
1030,231903
1030,231904
1030,231905
1030,231906
1030,231907
1030,231908
1030,231909
1030,231910
1023,231911
1036,231912
1036,231913
1031,231914
1031,231915
1031,231916
1032,231917
1032,231918
1032,231919
1032,231920
1032,231921
1032,231922
1033,231923
1033,231924
1024,231925
1024,231926
1024,231927
1024,231928
1035,231929
1035,231930
1035,231931
1035,231932
1035,231933
1035,231934
1035,231935
1035,231936
1035,231937
1035,231938
1035,231939
1035,231940
1035,231941
1035,231942
1035,231943
1035,231944
1035,231945
1035,231946
1062,231947
1062,231948
1062,231949
1062,231950
1062,231951
1062,231952
1063,231953
1063,231954
1064,231955
1064,231956
1064,231957
1067,231958
1067,231959
1067,231960
1067,231961
1067,231962
1070,231963
1071,231964
1071,231965
1071,231966
1071,231967
1071,231968
1071,231969
1071,231970
1071,231971
1071,231972
1071,231973
1071,231974
1071,231975
1071,231976
1077,231977
1110,231978
1112,231979
1112,231980
1112,231981
1112,231982
1114,231983
1114,231984
1114,231985
1114,231986
1116,231987
1116,231988
1116,231989
1699,231990
1699,231991
1045,231992
1045,231993
1045,231994
1045,231995
1084,231997
1084,231998
1084,231999
1085,232000
1081,232001
1081,232002
1088,232003
1088,232005
1090,232006
1090,232007
1090,232008
1090,232009
1035,232010
1027,232011
1023,232012
1035,232013
1029,232014
1029,232015
1023,232016
1053,232017
1118,232018
1090,232019
1071,232020
1063,232021
1071,232022
1118,232023
1035,232024
1035,232025
1031,232026
1080,232027
1027,232028
1035,232029
1071,232030
1071,232031
1077,232032
1118,232033
1031,232034
1118,232035
1088,232036
1071,232037
1118,232038
1031,232039
1027,232040
1023,232041
1027,232042
1118,232043
1053,232044
1077,232045
1023,232046
1077,232047
1077,232048
1063,232049
1027,232050
1118,232051
1064,232052
1029,232053
1071,232054
1035,232055
1080,232056
1071,232057
1029,232058
1118,232059
1023,232060
1063,232061
1079,232062
1035,232063
16822,232064
1088,232065
1053,232066
1053,232067
1071,232068
1064,232069
1063,232070
1035,232071
1118,232072
1053,232073
1118,232074
1035,232075
1027,232076
1064,232077
1057,232078
1029,232079
1031,232080
1118,232081
1118,232082
1063,232083
1035,232084
1027,232085
1053,232086
1023,232087
1088,232088
1035,232089
1029,232090
1029,232091
1023,232092
1053,232093
16822,232094
1090,232095
1118,232096
1027,232097
1023,232098
1118,232099
1071,232100
1053,232101
1035,232102
1035,232103
1035,232104
1035,232105
1035,232106
1063,232107
1035,232108
1035,232109
1031,232110
1029,232111
1029,232112
1118,232113
1080,232114
1035,232115
1027,232116
1029,232117
1118,232118
1029,232119
1118,232120
1063,232121
1031,232122
1064,232123
1027,232124
1063,232125
1088,232126
1088,232127
1088,232128
1058,232129
1058,232130
1058,232131
1058,232132
1085,232133
1085,232134
1074,232135
1074,232136
1070,232137
1067,232138
1030,232139
1087,232140
2336,232141
1092,232142
1092,232143
1092,232144
1054,232145
1054,232146
1092,232147
1077,232148
1084,232149
1084,232150
1084,232151
1052,232152
1052,232153
1052,232154
1052,232155
1052,232156
1052,232157
1055,232158
1055,232159
1055,232160
1050,232161
1050,232162
1029,232163
1029,232165
1029,232166
1029,232167
1029,232168
1023,232169
1023,232170
1087,232171
1087,232172
1087,232173
1087,232174
1087,232175
1087,232176
1087,232177
1087,232178
1087,232179
1050,232180
1110,232181
1110,232182
1110,232183
1110,232184
1029,232185
1029,232186
1029,232187
1085,232188
1085,232189
122,232190
122,232191
122,232192
122,232193
1092,232194
122,232195
122,232196
122,232197
1011,232199
122,232200
1011,232201
1011,232202
122,232203
122,232204
122,232205
1095,232206
1095,232207
1095,232208
1095,232209
1024,232210
1024,232211
1024,232212
2337,232213
1054,232214
1048,232215
1048,232216
1023,232217
1023,232218
1024,232219
1055,232220
1055,232221
1024,232222
1024,232223
1055,232224
1035,232225
1035,232226
1035,232227
1035,232228
1035,232229
1035,232230
1035,232231
1035,232232
1035,232233
1073,232234
1073,232235
1064,232236
1064,232237
1064,232238
1064,232239
1064,232240
1064,232241
1064,232242
1031,232243
1031,232244
1075,232245
1066,232246
1066,232247
1066,232248
1071,232249
1071,232250
1019,232251
2018,232252
1033,232253
1076,232254
1044,232255
1044,232256
1042,232257
1042,232258
1042,232259
1076,232260
1077,232261
1063,232262
1063,232263
1077,232264
1070,232265
1070,232266
1070,232267
1064,232268
1064,232269
1064,232270
1064,232271
1033,232272
1055,232273
1055,232274
1052,232275
1029,232276
1024,232277
1062,232278
1062,232279
1051,232280
1051,232281
1051,232282
1085,232283
1093,232284
1093,232285
1071,232286
1114,232287
1114,232288
1092,232289
1066,232290
1023,232291
1023,232292
1076,232293
1053,232294
1071,232295
1071,232296
1101,232297
1118,232298
1092,232299
1057,232300
1053,232301
1063,232302
1037,232303
14492,232304
1064,232305
1051,232306
1030,232307
1087,232308
1023,232309
1023,232310
1023,232311
1023,232312
1023,232313
1114,232314
1118,232315
1075,232316
1011,232317
1081,232318
1081,232319
1092,232320
1077,232321
