AttributeID,AttributeName,AttributeValue,EntityID,EntityType
1,Accessibility,No,100,Tour
3,Amenities,Restrooms available at 1.1 miles and 2.5 miles.,100,Tour
19,Directions To Tour,All tours begin at the Visitor Center.,100,Tour
21,Distance (miles),4,100,Tour
43,Important Information,There are two brief restroom stops. Comfortable walking shoes and a light sweater or jacket are recommended for this trip.  ,100,Tour
49,Long Description,This physically demanding trip will give you an excellent idea of the size and complexity of the Mammoth Cave System.  Learn how the caves natural and cultural histories are interwoven.  See some of the most dramatic passages in this mammoth cave. <b>Note</b>: Mammoth Cave does not offer the Grand Avenue Tour year-round. Please check the <a href=https://www.nps.gov/maca/planyourvisit/gocavetours.htm>current program schedule</a>.,100,Tour
62,Num of Steps,670,100,Tour
66,Physical Effort,Difficult,100,Tour
95,Tour Days / Hours Description,Seasonal,100,Tour
96,Tour Days of Week,Sunday,100,Tour
49,Long Description,White House Easter Egg Roll,1006,Tour
49,Long Description,White House Easter Egg Roll,1007,Tour
49,Long Description,Sunrise Photo Tour,1008,Tour
1,Accessibility,The visitor center grounds and first floor of the Douglass Home are accessible. The second floor is not wheelchair accessible. Visitors can call 202-426-5961 with accessibility inquiries.,1009,Tour
3,Amenities,In the visitor center:  17-minute film Fighter for Freedom - shown on the hour and half-hour; exhibits; bookstore; restrooms.  Self-guided walking tour of the historic grounds (brochures available upon request in the visitor center),1009,Tour
19,Directions To Tour,"From the Mall Area in downtown Washington, DC:  Travel South on 9th Street NW to I-395 North.  Follow Exit for I-295 to Exit for Martin Luther King Jr. Avenue SE.  Follow Martin Luther King Jr. Avenue SE.  Contineu on Martin Luther King Jr. Avenue for a few blocks and turn left onto W Street SE.  Proceed three blocks to the Visitor Center parking lot on the right.From I-495\/95 Washington Beltway:  Take Exit 3 North onto Indian Head Highway (MD-210), which becomes South Capitol Street.  Bear right onto Martin Luther King Jr. Avenue.  Turn right on W Street SE and proceed three blocks to the Visitor Center parking lot on the right.Metro (Public Transportation System):  From the Anacostia Metro Subway \/ Elevated Train Station (Green Line) take the Mount Rainier B-2 Bus to the Douglass Home.",1009,Tour
43,Important Information,"Reservations for group tours are required. Visitors are advised to arrive at least 20 minutes early for introduction and bathroom stops before a tour begins. <p> Important Notice for School Groups Visiting the Frederick Douglass National Historic Site. Educational institutions qualify for special reservation pricing for group tours at Frederick Douglass NHS. School groups MUST book reservations through the NRRS Group Sales Department to receive this pricing. Do NOT book school tours on-line as the special pricing is NOT available through www.RECREATION.gov. Call Group Sales at 877-559-6777. Hours - Monday - Friday; 8:00 AM -5:00 PM eastern time. Sincerely, NRRS Group Sales <\/p>",1009,Tour
49,Long Description,Frederick Douglass (1818 - 1895) was one of the most prominent African American leaders of the 19th century. Douglass fought for human rights as an abolitionist and a voice for social justice. Douglass lived at the estate called Cedar Hill.,1009,Tour
62,Num of Steps,85,1009,Tour
66,Physical Effort,Moderate,1009,Tour
49,Long Description,Adult Annual Pass,101,Tour
49,Long Description,Firefly Event,1010,Tour
49,Long Description,Firefly Event,1011,Tour
1,Accessibility,No.,1012,Tour
3,Amenities,No restrooms available.,1012,Tour
19,Directions To Tour,All tours begin at visitor center.,1012,Tour
21,Distance (miles),2,1012,Tour
43,Important Information,Tour Park Facility Operational Hours: Tours run every day except Christmas Day.  Visitor Center closes early on Christmas Eve. Visitor Center hours vary with season.If you fear heights or close places and/or cannot climb steps this tour is not recommended.  This tour has an elevation change of 300 feet and will involve a total of 540 steps.,1012,Tour
49,Long Description,"Take a walk along the Historic Tour route with a side trip to visit an underground hospital used in the 1840’s to treat consumptive patients. Your journey through the natural entrance will take you past saltpeter mining operations and across the Bottomless Pit as you wind through small passages and visit the beautiful Mammoth Dome. The entirety of the Historic Tour is seen on this tour. Limited areas of the Discovery Self-Guided, Mammoth Passage, Star Chamber, River Styx, and Violet City Lantern Tours are visited on this route. This tour does not visit dripstone formation areas.",1012,Tour
62,Num of Steps,540,1012,Tour
66,Physical Effort,Moderate,1012,Tour
95,Tour Days / Hours Description,Daily,1012,Tour
96,Tour Days of Week,Sunday,1012,Tour
19,Directions To Tour,"From the park entrance, drive 20 miles (32.2 km) to the all-way stop on Chapin Mesa. Turn left and drive 0.4 miles (0.6 km) and turn left onto the Cliff Palace Loop. Drive 1.7 miles (2.7 km) to Cliff Palace. Meet the ranger on the overlook above Cliff Palace at least 15 minutes in advance. Please allow 1 hr to arrive to your final destination from the parks entrance station.",1013,Tour
21,Distance (miles),0.25,1013,Tour
43,Important Information,"Consider your physical health before joining a hike, especially if you have heart or respiratory problems, or other physical difficulties. Elevations range between 7,000 and 7,500 feet (2134 m and 2286 m) above sea level. You should plan for all weather possibilities because weather conditions are quite variable. Its possible to begin your hike in full sun and end with a thunderstorm or snowstorm.",1013,Tour
49,Long Description,"This moderate 90-minute, 1/4-mile (0.4 km) tour has an elevation change of 100 feet (30 m) descending uneven stone steps and climbing four, 8- to 10-foot (2.4 m to 3 m) ladders. Tripods and all kinds of cameras are welcome. BUT YOU MUST BE ABLE TO CARRY ALL OF YOUR GEAR WHILE KEEPING YOUR HANDS FREE TO CLIMB LADDERS.<br><br> Meet the ranger on the overlook above Cliff Palace at least 15 min in advance of the tour.",1013,Tour
62,Num of Steps,200,1013,Tour
66,Physical Effort,Moderate,1013,Tour
95,Tour Days / Hours Description,"Sundays, Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays",1013,Tour
96,Tour Days of Week,Sunday,1013,Tour
21,Distance (miles),20,1014,Tour
49,Long Description,"Boards at the Rainy Lake Visitor Center, 1797 Town Road 342, International Falls, MN 56649. Discover the wonders and beauty of Voyageurs National Park. The captain will navigate Rainy Lake in search of active eagle nests and abundant wildlife. The boat will dock at Harry Oveson’s Fish Camp, one of the last commercial fishing camps on the Minnesota side of Rainy Lake, for a ¼ mile walk to view an ice house, fish processing shed and fisherman’s home. Tour runs from 11am - 1pm June 19 through August 31 on Wednesdays and Saturdays.",1014,Tour
62,Num of Steps,0,1014,Tour
66,Physical Effort,Easy,1014,Tour
1,Accessibility,None,1016,Tour
3,Amenities,Restroom at Ranger Station before hike begins.,1016,Tour
19,Directions To Tour,Tour begins at Sweet Home Ranger Station.,1016,Tour
21,Distance (miles),2,1016,Tour
43,Important Information,"This tour leaves the Ranger District at 0800. Please come prepared for a day in the forest with appropriate clothing, footwear, water and a lunch.",1016,Tour
49,Long Description,"Come see Gordon Meadows in full bloom. Enjoy wildflowers such as camas lilies, elephants head, sundews and much more. Expect wet feet. Please come prepared for a day in the forest, with lunch, water, appropriate clothes, etc.",1016,Tour
62,Num of Steps,0,1016,Tour
66,Physical Effort,Moderate,1016,Tour
1,Accessibility,None,1017,Tour
3,Amenities,Restrooms available at the office.,1017,Tour
19,Directions To Tour,All tours begin at the Sweet Home Ranger District.,1017,Tour
21,Distance (miles),2,1017,Tour
43,Important Information,"<li>Date: May 23, 2014 <li>This hike leave promptly from the ranger district office at scheduled time (0900).  Please come prepared for a day in the forest, lunch, water, appropriate clothes, etc.",1017,Tour
49,Long Description,"Join our adventure on this moderate to easy ~2 mile hike to where the spring flowers thrive! While the exact location of this hike will depend on how the flower season progresses, you will still need the creative art materials of your choice, a lunch, and a sense of adventure. For some, art is more than drawing and painting. If art to you is taking photos or if you’re artistic inspiration comes from observing and meditating in nature, feel free to join us. Be prepared to visit the home of the flowers for several hours to ”Art” and experience the place at rest.",1017,Tour
62,Num of Steps,0,1017,Tour
66,Physical Effort,Moderate,1017,Tour
1,Accessibility,None,1018,Tour
3,Amenities,Restrooms available at the office.,1018,Tour
19,Directions To Tour,All tours begin at the Sweet Home Ranger District.,1018,Tour
21,Distance (miles),5,1018,Tour
43,Important Information,"<li>Date: May 23, 2014 <li>This hike leave promptly from the ranger district office at scheduled time (0900).  Please come prepared for a day in the forest, lunch, water, appropriate clothes, etc.",1018,Tour
